Timestamp,study,Journal,Study #,Start Date,End Date,Country,Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,ARDS (n),Mechanical Ventilation (n),ICU (n),Smokers (n),COPD (n),Cardiovascular disease (n),Diabetes (n),Testing,Method,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site,patients,Type,coinfection,secondary_infection,Were bacteria names specified?,Mycoplasm,Chlamydia,S aureus,S pneumo,Enterococcus faecium species?,Haemophilus species?,Pseudomonas,Klebsiella,E. coli,Acinetobacter,Enterobacter,Enterococcus spp,CNST,Citrobacter,Moraxella ,Stenotrophomonas,Serratia,Strep non-pna,Legionella,Proteus spp.,Other GN,Other GP,Other not reported,Other bacteria and their numbers?,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the studys target population a close representation of the national population in relation to relevant variables?,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3: Was some form of random selection used to select the sample, OR was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,quality score,bias,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),Measured both CoI and Secondary?,Number of Other immunomodulators?
23/05/2021 3:42,"Mahmoudi H, 2020",GMS Hygiene and Infection Control,36161,17/02/2020,20/10/2020,Iran,Middle East,Cross-sectional study,Hospital,340,,,not applicable,,not clear,,,,,,,,specified,culture,"BC and ETA cultures were obtained from COVID-19 patients. In order to differentiate microorganisms, swabs
and blood were cultured on blood agar and MacConkey
agar plates and incubated at 37°C for 1824 hours.
Identification of the isolated bacteria was performed using
standard microbiological methods [9].",N,Respiratory and Blood,340,Secondary Infection,,43,Yes,0,0,15,1,0,0,4,11,7,,5,,,,,,,,,,,,,Enterobacter (5),,,,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,6,moderate,Yes,,
07/06/2021 15:33,"Bonazzetti C, 2021",Critical Care Medicine,37388,21/02/2020,30/04/2020,Italy,Europe,Retrospective Cohort,Hospital ICU,89,,61.5,Median,20,Critical,,83,89,,,,,specified,culture,BSIs were defined using the Center for Disease and Control criteria (5). The isolation of a common skin organism usually associated with contamination had to be confirmed in two sets of blood cultures in order to be considered a BSI,N,Blood,89,Secondary Infection,,57,Yes,,,7,,26,,2,17,1,1,6,53,24,,,1,1,,,,,1,,"Steno=1, Acinetobacter=1, enterobacter=6, Gemella sanguinis=1, Serratia=1, CNST=24, Enterococcus facelis = 26, Enterococcus hirae = 1",,,,No or unclear,Yes,Yes,No or unclear,Yes,Yes,Yes,No or unclear,Yes,No or unclear,6,moderate,Yes,,
13/05/2021 16:18,"Stevens RW, 2021",Infect Control Hosp Epidemiol,37704,01/03/2020,28/04/2020,United States,North America,Retrospective Cohort,Hospital/Outpatients,346,,45,Mean/Average,297,All combined,,,,,28,,52,specified,culture,"Respiratory cultures were collected from 8 patients, all in the
inpatient cohort: 6 were collected by tracheal aspiration and
2 by expectorated sputum. A causative pathogen (methicillinsensitive
Staphylococcus aureus) was only identified in 1 culture.",N,Respiratory,346,Not-specified,1,,Yes,,,1,,,,,,,,,,,,,,,,,,,,,,,,33,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,
30/04/2021 9:19,"Luduena M, 2020",Medicina,37942,15/03/2020,30/06/2020,Argentina,South and Central America,Retrospective Cohort,Hospital,100,,52.5,Median,53,All combined,,8,10,6,3,2,11,unspecified,unspecified,detected two co-infections: dengue in a mild caseand urinary antigen for pneumococcus in pneumonia severe requiring critical care,Y,Unclear,100,Co-infection,1,,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,17,,,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,
13/06/2021 4:19,"COVID-ICU Group, 2021",Intensive Care Med,38007,20/02/2020,04/05/2020,"France, Belgium, and Switzerland",Europe,Case series,Hospital ICU,4244,,63,Median,1085,Critical,2233,3376,4244,176,,,1167,specified,culture,"Clinical suspicion of ventilator-associated pneumonia was confrmed before antibiotics either by quantitative distal bronchoalveolar lavage cultures growing ?104 cfu/mL, blind protected specimen brush distal growing ?103 cfu/mL, or endotracheal aspirates growing ?106 cfu/mL",N,Respiratory,4116,Co-infection,208,,No,,,,,,,,,,,,,,,,,,,,,,,,"Among patients who were mechanically ventilated, 144/1951 had bacterial coinfection; 1209/2101 had VAP",888,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,8,low,Yes,,
10/05/2021 7:35,"Wang S, 2020",PLOS ONE,39639,22/01/2020,27/02/2020,China,Asia,Retrospective Cohort,Hospital,199,,46.3,Mean/Average,94,All combined,9,4,14,,,8,15,specified,culture,"Culture of bacteria and fungi were conducted in patients with fever. ""complicated with bacterial infection""",N,Unclear,199,Secondary Infection,,38,No,,,,,,,,,,,,,,,,,,,,,,,,,34,,96,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,No or unclear,8,low,Yes,,
10/06/2021 21:52,"Jiménez E, 2020",BMJ Open,39854,01/03/2020,28/05/2020,Spain,Europe,Case Series of equal or more than 50 patients,Hospital,1549,,69,Median,659,All combined,195,182,81,374,211,375,382,unspecified,unspecified,None,N,Respiratory,1549,Not-specified,43,,No,,,,,,,,,,,,,,,,,,,,,,,,,684,240,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,5,moderate,Yes,,37 patients got interferon-b (in combination with other therapies)
10/05/2021 12:13,"Vena A, 2020",Clinical Microbiology and Infection,39913,25/02/2020,25/03/2020,Italy,Europe,Retrospective Cohort,Hospital,317,,71,Median,104,All combined,116,60,65,,18,63,49,specified,culture,"Bacterial and/or fungal cultures were collected according to physicians' judgement, and microorganisms were identified with matrix-assisted laser
desorption/ionization time-of-flight mass spectrometry and were tested for antimicrobial susceptibility with a Vitek 2 automated system.",N,Respiratory and Blood,317,Co-infection,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,122,61,203,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,low,Yes,,
08/05/2021 15:17,"Gottlieb M, 2020",Academic Emergency Medicine,41557,04/03/2020,21/06/2020,United States,North America,Retrospective Cohort,Hospital,1483,,56,Median,691,All combined,265,282,528,,84,229,634,specified,culture,"We also collected hospitalization outcome data on coinfections (e.g., positive
influenza test, positive respiratory syncytial virus [RSV] test), complications (e.g., cardiac dysrhythmias, positive blood culture, positive sputum culture, subsequent
bacterial pneumonia,",N,Respiratory and Blood,1483,Secondary Infection,,184,No,,,,,,,,,,,,,,,,,,,,,,,,,676,152,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,8,low,Yes,,
07/06/2021 15:17,"Giacobbe D, 2020",European Journal of Clinical Investigation,43746,20/02/2020,10/04/2020,Italy,Europe,Retrospective Cohort,Hospital ICU,78,,66,Median,18,Critical,,,78,,10,,14,specified,culture,"causative agents of BSI and susceptibility test results (the VITEK-2 automated system, bioMérieux, Marcy lEtoile, France, was used for isolate identification and antimicrobial
susceptibility testing).",Y,Blood,78,Secondary Infection,,31,Yes,0,0,6,1,4,0,2,0,1,,4,12,11,,,,,8,,1,1,,,Coagulase-negative staph = 11; Enterococcus faecalis = 8; Viridans group streptococci =3; enterobacter aerogenes = 4; proteus mirabilis = 1; prevotella spp = 1,24,18,75,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,
07/06/2021 14:22,"Ip A, 2020",PLoS ONE,45006,01/03/2020,05/05/2020,United States,North America,Retrospective Cohort,Hospital,2512,,64,Median,945,All combined,,,547,525,,398,813,unspecified,unspecified,,N,Respiratory and Blood,547,Secondary Infection,,99,No,,,,,,,,,,,,,,,,,,,,,,,,,352,198,419,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,Yes,7,moderate,Yes,,
07/06/2021 18:07,"Becchetti C, 2020",Gut,45965,10/03/2020,10/05/2020,Europe,Europe,Prospective Cohort,Hospital/Outpatients,57,Transplant,65,Median,17,All combined,11,12,4,7,7,21,21,unspecified,unspecified,,Y,Respiratory and Blood,57,Not-specified,6,,No,,,,,,,,,,,,,,,,,,,,,,,,,19,1,35,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,3,high,Yes,,
17/06/2021 13:41,"Azoulay E, 2020",Intensive Care Medicine,46223,20/02/2020,24/04/2020,France,Europe,Retrospective Cohort,Hospital ICU,379,,66,Median,87,Critical,,257,379,,20,,114,unspecified,unspecified,Superinfections were diagnosed at the time of SARS-CoV-2 diagnosis in 50 patients and were related,N,Unclear,379,Co-infection,50,,Yes,,,16,,,5,3,5,4,,2,,,2,4,,3,,,,,5,,"""other staph""=5, Enterobacter=2, citrobacter=2, serratia=3, Moraxella=4",,,,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,4,high,Yes,,
17/06/2021 17:32,"Zhang J, 2020",Frontiers in Endocrinology,48190,01/01/2020,17/03/2020,China,Asia,Retrospective Cohort,Hospital,312,,57,Median,172,All combined,12,32,9,,12,22,,specified,culture,,Y,Respiratory and Blood,312,Co-infection,36,,No,,,,,,,,,,,,,,,,,,,,,,,,,129,,242,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,IVIG 131
07/06/2021 12:02,"Xu J, 2020",Critical Care,49415,12/01/2020,03/02/2020,China,Asia,Retrospective Cohort,Hospital ICU,239,,62.5,Mean/Average,96,Critical,164,165,239,,12,35,44,specified,culture,,Y,Respiratory and Blood,239,Secondary Infection,,35,No,,,,,,,,,,,,,,,,,,,,,,,,,189,,229,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,8,low,Yes,,
15/06/2021 2:17,"Barbaro RP, 2020",Lancet,50527,16/01/2020,01/05/2020,International (36 Countries),Multiple,Retrospective Cohort,Hospital ICU,1035,ECMO support,49,Median,269,Critical,819,951,1035,,29,24,245,specified,culture,,N,Respiratory and Blood,1033,Co-infection,322,,Yes,,,68,5,,6,12,20,5,7,2,4,12,,,,3,5,,,5,4,42,"Pre-ECMO respiratory tract culture results 162, CNST=12, Strep spp (non-pna) =5, Aba=7, GNB other=5, enterococcus spp=4, Serratia=3, bacillus=2, Enterobacter=2, GP=2, other =42",1035,1035,,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,1035 Anticytokine
10/05/2021 9:24,"Schmidt M, 2020",Lancet Respir Med,50968,08/03/2020,02/05/2020,France,Europe,Retrospective Cohort,Hospital ICU,83,patients who received ECMO,49,Median,22,Critical,83,83,83,2,9,4,26,unspecified,unspecified,No details provided in study.,N,Respiratory and Blood,83,Secondary Infection,,83,No,,,,,,,,,,,,,,,,,,,,,,,,,17,8,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,
17/06/2021 13:22,"Angelis V, 2020",European Journal of Cancer,51285,01/03/2020,30/04/2020,United Kingdom,Europe,Retrospective Cohort,Hospital/Outpatients,113,Cancer/Malignancy,66,Median,50,All combined,,,12,11,6,13,18,specified,culture,Superimposed bacterial infection was confirmed in only three patients on blood cultures.,N,Blood,113,Not-specified,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,13,,103,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,6,moderate,No - Exclude,,
08/06/2021 17:48,"Chen L, 2020",Leukemia,52344,20/01/2020,04/04/2020,China,Asia,Prospective Cohort,Hospital,1859,,59,Median,925,All combined,227,230,106,111,61,268,262,specified,culture + antigen detection test,Diagnosis of bacterial infection required ?1 positive culture or a positive antigen detection test.,N,Unclear,1859,Not-specified,563,,No,,,,,,,,,,,,,,,,,,,,,,,,,753,,1559,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,4,high,Yes,,IVIG (506 patients)
15/06/2021 13:55,"Wang A, 2020",Medical Science Monitor,52929,20/01/2020,29/02/2020,China,Asia,Retrospective Cohort,Hospital,130,,46.5,Median,54,All combined,26,,18,,4,6,12,specified,culture,"Secondary bacterial infection was diagnosed if patients showed clinical symptoms of pneumonia and bacteremia with a positive culture of a pathogen from lower respiratory tract specimens (sputum, endotracheal aspirates, or bronchoalveolar lavage fluid) or from blood samples within 2 days after admission",Y,Respiratory and Blood,130,Secondary Infection,,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,low,Yes,,
21/05/2021 23:26,"Armann J, 2020",Deutsches Arzteblatt International,56723,18/03/2020,04/05/2020,Germany,Europe,Retrospective Cohort,Hospital,128,Pediatrics/Neonatal,,n/a,64,All combined,3,12,,,,8,3,unspecified,unspecified,"""coinfections""",N,Unclear,128,Co-infection,9,,No,,,,,,,,,,,,,,,,,,,,,,,,,9,,36,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,5,moderate,Yes,,
